year,total,inNYC,percentInNYC,Inactive,percentInactive
1900,281,173,61.5658362989,8,2.84697508897
1901,291,168,57.7319587629,11,3.78006872852
1902,288,152,52.7777777778,17,5.90277777778
1903,330,182,55.1515151515,11,3.33333333333
1904,285,170,59.649122807,25,8.77192982456
1905,295,154,52.2033898305,22,7.45762711864
1906,312,170,54.4871794872,16,5.12820512821
1907,336,183,54.4642857143,28,8.33333333333
1908,325,173,53.2307692308,21,6.46153846154
1909,386,232,60.103626943,21,5.44041450777
1910,395,219,55.4430379747,24,6.07594936709
1911,356,199,55.8988764045,32,8.98876404494
1912,701,397,56.6333808845,38,5.42082738944
1913,573,329,57.4171029668,48,8.37696335079
1914,544,290,53.3088235294,39,7.16911764706
1915,512,288,56.25,37,7.2265625
1916,669,391,58.4454409567,63,9.41704035874
1917,559,302,54.0250447227,51,9.12343470483
1918,422,256,60.663507109,43,10.1895734597
1919,802,468,58.3541147132,118,14.7132169576
1920,905,549,60.6629834254,88,9.72375690608
1921,836,508,60.7655502392,82,9.80861244019
1922,814,451,55.4054054054,117,14.3734643735
1923,832,443,53.2451923077,127,15.2644230769
1924,726,375,51.652892562,115,15.8402203857
1925,903,545,60.3543743079,178,19.7120708749
1926,859,476,55.4132712456,150,17.4621653085
1927,935,556,59.4652406417,194,20.7486631016
1928,1021,596,58.3741429971,224,21.9392752204
1929,1201,718,59.7835137386,199,16.5695253955
1930,1033,634,61.3746369797,225,21.7812197483
1931,986,583,59.1277890467,274,27.7890466531
1932,990,605,61.1111111111,365,36.8686868687
1933,1048,646,61.641221374,404,38.5496183206
1934,869,522,60.0690448792,328,37.7445339471
1935,1003,652,65.0049850449,408,40.6779661017
1936,1046,644,61.5678776291,421,40.2485659656
1937,983,653,66.4292980671,408,41.505595117
1938,863,542,62.8041714948,368,42.6419466976
1939,972,644,66.2551440329,452,46.5020576132
1940,1033,670,64.8596321394,467,45.2081316554
1941,925,613,66.2702702703,430,46.4864864865
1942,723,476,65.836791148,303,41.9087136929
1943,762,494,64.8293963255,320,41.9947506562
1944,1120,731,65.2678571429,467,41.6964285714
1945,1821,1226,67.3256452499,869,47.7210323998
1946,4094,2652,64.7777234978,1926,47.0444553004
1947,2994,1766,58.9846359385,1216,40.6145624582
1948,2509,1478,58.9079314468,1006,40.0956556397
1949,2407,1407,58.4545076859,965,40.0914000831
1950,2706,1633,60.347376201,1158,42.7937915743
1951,2461,1442,58.5940674523,994,40.3900853312
1952,3141,1936,61.6364215218,1345,42.8207577205
1953,3292,1858,56.439854192,1318,40.0364520049
1954,3789,2129,56.1889680655,1548,40.8551068884
1955,4556,2498,54.8287971905,1831,40.188762072
1956,4826,2572,53.2946539577,1844,38.209697472
1957,4906,2717,55.3811659193,1920,39.1357521402
1958,5402,2986,55.275823769,2221,41.1144020733
1959,7285,3894,53.452299245,2930,40.2196293754
1960,7162,3759,52.4853392907,2802,39.1231499581
1961,7474,3995,53.4519668183,2878,38.5068236553
1962,7495,4001,53.3822548366,3029,40.4136090727
1963,7656,4025,52.5731452456,3123,40.7915360502
1964,8690,4565,52.5316455696,3453,39.7353279632
1965,9401,4861,51.7072651846,3782,40.2297627912
1966,9281,4946,53.2916711561,3918,42.215278526
1967,10191,5425,53.2332450201,4343,42.6160337553
1968,11639,6136,52.7193057823,4873,41.8678580634
1969,13068,7097,54.3082338537,5568,42.6078971534
1970,13869,7175,51.7340832072,5763,41.553104045
1971,16983,8725,51.3749043161,7082,41.7005240535
1972,20697,10545,50.9494129584,8535,41.2378605595
1973,21819,10743,49.2369036161,8882,40.7076401302
1974,22577,11591,51.3398591487,9617,42.5964477123
1975,25846,13672,52.8979339163,11501,44.4981815368
1976,28058,14785,52.6944187041,12602,44.9141064937
1977,38158,20781,54.4604014885,18135,47.5260757901
1978,55113,30972,56.1972674324,28191,51.151271025
1979,57836,32845,56.7898886507,29710,51.3693893077
1980,59564,33776,56.705392519,30390,51.0207507891
1981,62720,35384,56.4158163265,31429,50.1100127551
1982,65927,36767,55.769259939,31744,48.150226766
1983,71289,39339,55.1824264613,33838,47.4659484633
1984,76173,41164,54.0401454584,35074,46.0451866147
1985,80318,43051,53.6006872681,36878,45.914987923
1986,84394,44051,52.1968386378,37476,44.4060004266
1987,84650,43393,51.2616656822,36772,43.4400472534
1988,86163,43963,51.0230609426,37108,43.0672098232
1989,82182,41587,50.6035384877,34969,42.5506801976
1990,74684,38055,50.95468909,31554,42.2500133897
1991,72021,37607,52.2167145694,30992,43.0318934755
1992,77471,39949,51.5663925856,32286,41.6749493359
1993,80744,42023,52.044733974,33653,41.6786386605
1994,84101,44097,52.4333836696,34258,40.7343551206
1995,92927,48379,52.0612954254,35461,38.1600611232
1996,97971,51015,52.0715313715,36291,37.0425942371
1997,102123,53346,52.2370083135,36526,35.7666735211
1998,104136,54110,51.9608972882,35588,34.1745409849
1999,110797,57909,52.2658555737,37329,33.6913454335
2000,116064,60056,51.7438654535,37583,32.3812724014
2001,111960,56410,50.3840657378,33080,29.5462665238
2002,124151,61804,49.7813146894,32790,26.4113861346
2003,131136,65416,49.8840897999,32038,24.431124939
2004,139389,69527,49.8798326984,31227,22.4027720982
2005,144216,72486,50.2621068397,29738,20.6204582016
2006,144997,73638,50.7858783285,28973,19.9817927267
2007,145445,74474,51.2042352779,27049,18.5974079549
2008,137448,70854,51.5496769687,22573,16.4229381293
2009,128488,67631,52.6360438329,12903,10.0421829276
2010,134556,71892,53.4290555605,4663,3.4654716252
2011,138503,75240,54.3237330599,2868,2.07071326975
2012,149589,81184,54.2713702211,1243,0.830943451724
2013,111814,60752,54.3330888797,270,0.241472445311